ranking,game_id,name,min_players,max_players,avg_timeplay,min_timeplay,max_timeplay,year,avg_rating,num_votes,age,category,designer,weight
4067,123129,We Didn't Playtest This: Legacies,2,15,2,2,2,2012,6.24103,312,12,Card Game,Chris Cieslik,1
1571,19841,Pentago,2,2,5,2,5,2005,6.42794,2347,8,Abstract Strategy,Tomas Flod_n,1.8968
1671,107190,Flash Duel: Second Edition,1,5,5,2,5,2011,6.95994,714,0,"Card Game, Fantasy, Fighting",David Sirlin,1.6071
1818,102148,NOIR: Deductive Mystery Game,2,9,5,5,5,2012,6.68451,845,8,"Deduction, Murder/Mystery, Spies/Secret Agents","D. Brad Talton, Jr.",1.6078
2217,33468,Zombie in my Pocket,1,1,5,5,5,2007,6.33625,1426,11,"Adventure, Exploration, Fighting, Horror, Print & Play, Zombies",Jeremiah Lee,1.3035
2449,125048,Dobble: Kostenlose Demoversion,2,8,5,2,5,0,6.6828,599,6,"Children's Game, Party Game, Real-time",Denis Blanchot,1.0312
2764,17,Button Men,2,2,5,5,5,1999,6.31401,728,10,"Collectible Components, Dice, Fighting, Print & Play",James Ernest,1.5493
3264,65334,Flash Duel,2,2,5,2,5,2010,6.71965,311,0,"Card Game, Fantasy, Fighting",David Sirlin,1.4783
3442,29140,Tumblin-Dice Jr.,2,2,5,5,5,2006,6.68594,229,6,"Action / Dexterity, Children's Game, Dice",Randy Nash,1
3571,22465,On the Dot,2,4,5,5,5,2006,6.24698,431,10,Abstract Strategy,Dominique Bodin,1.6735
3934,165346,Mint Tin Pirates,2,2,5,5,5,2014,7.59225,187,10,"Card Game, Dice, Pirates",David Rene Miller,1.069
4631,13230,Gobblet Gobblers,2,2,5,5,5,2003,6.11497,334,5,"Abstract Strategy, Children's Game, Memory",Thierry Denoual,1.3704
4653,11929,Go-Moku,2,2,5,5,5,700,5.98202,426,8,Abstract Strategy,(Uncredited),1.9375
4705,165347,Mint Tin Aliens,2,2,5,2,5,2014,7.61728,162,10,"Card Game, Science Fiction",David Rene Miller,1.1429
4771,41763,Le Passe-Trappe Grande,2,2,5,5,5,2008,6.95167,96,10,Action / Dexterity,(Uncredited),1
4838,198836,3 Wishes,3,5,5,5,5,2016,5.907,476,8,"Deduction, Memory, Mythology",Chris Castagnetto,1
4893,93001,IceDice,2,4,5,5,5,2011,6.44,180,14,Dice,Andrew Looney,1.1579
4941,158882,Elevenses for One,1,1,5,5,5,2014,6.4503,165,10,"Card Game, Print & Play",David Harding (II),1.25
205,147949,One Night Ultimate Werewolf,3,10,10,10,10,2014,7.35829,11474,8,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.4088
330,163166,One Night Ultimate Werewolf Daybreak,3,7,10,10,10,2015,7.56417,2643,8,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.4478
364,113294,Escape: The Curse of the Temple,1,5,10,10,10,2012,7.10077,11619,8,"Adventure, Dice, Electronic, Exploration, Real-time",Kristian Amundsen Ìüstby,1.4801
529,171273,FUSE,1,5,10,10,10,2015,7.23544,2804,10,"Action / Dexterity, Dice, Real-time",Kane Klenko,1.7736
586,327,Loopin' Louie,2,4,10,10,10,1992,6.8884,6665,4,"Action / Dexterity, Animals, Aviation / Flight, Children's Game, Electronic, Movies / TV / Radio theme, Real-time","Masaru Aoki, Carol Wiseley",1.0544
717,165722,KLASK,2,2,10,10,10,2014,7.67115,1006,0,Action / Dexterity,Mikkel Bertelsen,1.0455
962,8098,Jungle Speed,2,8,10,3,10,1997,6.57724,7998,7,"Action / Dexterity, Card Game, Party Game, Real-time","Thomas Vuarchex, Pierrick Yakovenko",1.1517
1113,158339,Lost Legacy: The Starship,2,4,10,3,10,2014,6.73127,2066,10,"Bluffing, Card Game, Deduction, Science Fiction","Seiji Kanai, Hayato Kisaragi",1.2816
1306,39206,Click Clack Lumberjack,2,7,10,10,10,2008,6.52035,2653,5,"Action / Dexterity, Children's Game",Justin Oh,1.0438
1351,158340,Lost Legacy: Flying Garden,2,4,10,10,10,2014,6.80576,1200,10,"Bluffing, Card Game, Deduction","Seiji Kanai, Hayato Kisaragi",1.3455
1383,180956,One Night Ultimate Vampire,3,10,10,10,10,2015,7.03917,850,8,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.4783
1451,10550,Big Boggle,2,8,10,10,10,1979,6.8509,1016,8,"Real-time, Word Game",Alan Turoff,1.5567
1574,8924,Dancing Eggs,2,4,10,10,10,2003,6.49311,1732,5,"Action / Dexterity, Children's Game, Dice, Humor, Party Game",Roberto Fraga,1.051
1580,6866,Mus,4,4,10,3,10,1745,7.86651,371,7,Card Game,(Uncredited),2.2222
1660,99875,Martian Dice,2,99,10,10,10,2011,6.36085,2478,8,"Dice, Humor, Party Game, Science Fiction",Scott Almes,1.0782
1749,125311,Niya,2,2,10,10,10,2012,6.69418,891,7,Abstract Strategy,Bruno Cathala,1.2593
1851,1293,Boggle,1,8,10,10,10,1972,6.1812,5343,8,"Dice, Real-time, Word Game","Bill Cooke, Alan Turoff",1.5247
1857,4209,Monza,2,6,10,10,10,2000,6.57759,970,5,"Children's Game, Dice, Racing, Sports",JÌªrgen P. Grunau,1.0405
1896,17053,Sleeping Queens,2,5,10,10,10,2005,6.41039,1610,8,"Bluffing, Card Game, Children's Game, Deduction, Educational, Fantasy, Math, Memory, Mythology, Number",Miranda Evarts,1.0569
2125,5534,Light Speed,2,5,10,3,10,2003,6.36137,1154,10,"Action / Dexterity, Fighting, Print & Play, Real-time, Science Fiction","James Ernest, Tom Jolly",1.1667
2145,193308,Spyfall 2,3,12,10,10,10,2017,7.48018,285,13,"Bluffing, Deduction, Party Game, Spies/Secret Agents",Alexandr Ushan,1.25
2175,943,Ligretto,2,4,10,10,10,1988,6.20328,2348,8,"Card Game, Real-time",Michael Michaels,1.209
2179,20295,WeyKick,2,4,10,10,10,2001,6.94651,416,3,"Action / Dexterity, Real-time, Sports",Ulrich Weyel,1.0263
2243,173319,Lost Legacy: Second Chronicle ? Vorpal Sword & Whitegold Spire,2,6,10,10,10,2015,6.88959,436,14,"Bluffing, Card Game, Deduction","Seiji Kanai, Hayato Kisaragi, Masato Uesugi",1.3182
2245,14188,Bughouse Chess,4,4,10,10,10,1960,7.37656,290,10,Abstract Strategy,(Uncredited),2.8235
2290,3837,Rat-a-Tat Cat,2,6,10,10,10,1995,6.17224,2005,6,"Animals, Card Game, Children's Game, Memory","Monty Stambler, Ann Stambler",1.1217
2312,1419,Pylos,2,2,10,3,10,1994,6.30404,1152,8,Abstract Strategy,David G. Royffe,2.0194
2561,12171,Pucket,2,2,10,10,10,2003,6.73445,427,4,Action / Dexterity,Jean-Marie Albert,1.0417
2652,41302,First Orchard,1,4,10,10,10,2009,6.83553,349,2,"Children's Game, Educational",Anneliese Farkaschovsky,1
2659,161926,Dead Drop,2,4,10,10,10,2015,6.53769,478,13,"Card Game, Deduction, Memory",Jason Kotarski,1.7391
2805,5770,Orchard,2,8,10,10,10,1986,6.43064,552,3,"Children's Game, Dice",Anneliese Farkaschovsky,1.0492
2828,748,Trax,2,2,10,10,10,1980,6.51547,464,8,Abstract Strategy,David L. Smith,2.1731
2915,175222,Lost Legacy: Third Chronicle ? Sacred Grail & Staff of Dragons,2,6,10,10,10,2015,6.96715,263,14,"Bluffing, Card Game, Deduction","Seiji Kanai, Hayato Kisaragi",1.7857
3011,21930,Crazy Kick,2,8,10,10,10,2006,6.37609,507,8,"Card Game, Real-time, Sports",Reiner Stockhausen,1.0492
3037,32901,Prawo D?ungli,2,100,10,10,10,2007,6.61062,372,8,"Action / Dexterity, Card Game, Party Game",(Uncredited),1.4194
3053,1421,Lost Worlds,2,2,10,10,10,1983,6.48392,416,10,"Book, Fantasy, Fighting, Medieval","C. Calhoun, William Fortin, Dennis Greci, Alfred Leonardi, Mary Leonardi, Nancy Loomis, Hal McKinney, Michael Stackpole",1.6905
3076,1799,Warlord: Saga of the Storm,2,4,10,10,10,2001,6.77727,359,10,"Card Game, Collectible Components, Fantasy","Oliver Schaaf, Dave Williams (II)",2.7105
3106,160409,Too Many Cinderellas,2,4,10,10,10,2014,6.46129,403,10,"Card Game, Deduction","Nobutake Dogen, Nao Shimamura",1.2963
3107,41762,Fastrack,2,2,10,10,10,2008,6.50075,360,5,"Action / Dexterity, Children's Game",Jean-Marie Albert,1
3283,1197,Blink,2,3,10,10,10,1995,5.94261,1560,7,"Action / Dexterity, Card Game, Children's Game, Real-time",Reinhard Staupe,1.0714
3307,178940,Push It,2,4,10,10,10,2015,7.28523,155,7,"Action / Dexterity, Children's Game",Leeson George,1
3326,2448,Kalah,2,2,10,10,10,1940,5.84758,4544,5,Abstract Strategy,William Julius Champion Jr.,1.6425
3350,2371,Extra!,1,6,10,10,10,1989,6.4686,329,8,Dice,Sid Sackson,1.4565
3352,6931,Katamino,1,2,10,10,10,1992,6.28935,479,3,"Abstract Strategy, Action / Dexterity, Children's Game, Puzzle",Andr_ Perriolat,1.7083
3381,125315,FlowerFall,2,7,10,3,10,2012,6.08242,708,6,"Action / Dexterity, Card Game, Party Game",Carl Chudyk,1.0465
3408,1644,Tipp-Kick,2,2,10,10,10,1921,6.47417,314,8,"Action / Dexterity, Miniatures, Movies / TV / Radio theme, Sports",Carl Mayer,1.1053
3464,43578,Monster Chase,1,5,10,10,10,2009,6.34575,391,4,"Children's Game, Memory",Antoine Bauza,1.0323
3578,159143,HUE,2,5,10,10,10,2015,6.58452,241,8,"Abstract Strategy, Card Game",Chris Handy,1.3636
3630,33767,Yavalath,2,3,10,10,10,2007,7.11366,161,0,Abstract Strategy,Cameron Browne,2.3333
3652,164158,SHH,2,4,10,10,10,2015,6.57943,230,10,"Deduction, Word Game",Chris Handy,1.5455
3653,158742,Backyard Builders Treehouse,2,5,10,10,10,2014,5.91429,1016,6,"Card Game, Trains, Transportation",David Short,1.0685
3703,29411,Castle Knights,2,4,10,10,10,2007,6.57522,230,5,"Action / Dexterity, Children's Game, Medieval",Christian Tiggemann,1.0526
3757,2379,Guesstures,4,99,10,5,10,1990,5.94639,1091,8,"Card Game, Party Game, Word Game","Jeffrey Breslow, Howard J. Morrison",1.1771
3822,16362,Hula Hippos,2,4,10,10,10,2005,6.13146,437,5,"Action / Dexterity, Animals, Children's Game",Heinz Meister,1.0185
3856,154892,Loonacy,2,5,10,10,10,2014,6.38934,302,8,"Card Game, Real-time",Andrew Looney,1.1
3874,42448,We Didn't Playtest This Either,2,10,10,10,10,2009,6.03634,603,12,"Card Game, Humor",Chris Cieslik,1.2308
3879,142503,One Night Werewolf,3,7,10,3,10,2012,6.25341,345,10,"Bluffing, Card Game, Deduction, Negotiation, Party Game",Akihisa Okui,1.2143
3894,106753,Ooga Booga,3,6,10,3,10,2011,6.06261,495,7,"Card Game, Humor, Memory, Party Game, Prehistoric","David Boniffacy, Daniel Quodbach",1.0294
3963,9386,IceTowers,2,5,10,10,10,1999,6.42611,247,10,"Abstract Strategy, Real-time",Andrew Looney,1.8947
3969,312,Landlord!,2,6,10,10,10,1992,5.88851,889,10,"Card Game, Humor",Friedemann Friese,1.5104
3992,24410,Treasures & Traps,2,6,10,3,10,2006,6.18694,444,10,"Card Game, Fantasy",C. Aaron Kreader,1.4167
4035,181370,Mint Tin Mini Apocalypse,2,2,10,10,10,2015,7.31737,224,10,"Real-time, Science Fiction",David Rene Miller,1.0667
4040,158991,Hannin Wa Odoru,3,8,10,10,10,2013,6.45863,248,8,"Bluffing, Deduction, Party Game",Pesu Nabeno,1.1667
4042,147883,Lost Legacy: Hyakunen Senso to Ryu no Miko,2,4,10,3,10,2013,7.29028,108,10,"Bluffing, Card Game, Deduction","Seiji Kanai, Hayato Kisaragi, Masato Uesugi",1.1429
4055,146035,Eggs of Ostrich,3,3,10,10,10,2012,6.65849,170,12,Card Game,Shimpei Sato,1.1
4057,158100,Speed Cups_,2,2,10,10,10,2014,6.88696,148,6,"Action / Dexterity, Children's Game, Real-time",Haim Shafir,1
4061,2944,Halli Galli,2,6,10,10,10,1990,5.80263,1722,6,"Action / Dexterity, Card Game, Children's Game, Party Game, Real-time",Haim Shafir,1.0136
4116,118410,Drecksau,2,4,10,10,10,2012,5.97915,621,7,"Animals, Card Game",Frank Bebenroth,1.0638
4127,99219,Swish,2,6,10,10,10,2011,6.1493,371,8,"Abstract Strategy, Puzzle","Zvi Shalem, Gali Shimoni",1.3
4135,145722,Eat Me If You Can!,3,6,10,10,10,2012,6.132,375,6,"Bluffing, Deduction",Jun'ichi Sato,1.0385
4147,129946,AttrAction,2,5,10,10,10,2012,6.37083,240,14,Action / Dexterity,Jeff Glickman,1.1667
4299,6551,Crimson Skies,2,2,10,10,10,2003,6.07626,420,10,"Aviation / Flight, Fighting, Miniatures, Spies/Secret Agents","L. Ross Babcock, III, Jon Leitheusser, Jim Long, Matt Robinson, Jordan Weisman",2.1667
4302,29952,Quinamid,2,2,10,10,10,2007,6.89677,127,8,"Abstract Strategy, Memory",Antony Brown,2.2
4323,39210,Tier auf Tier: Das Duell,2,2,10,10,10,2008,6.4201,204,5,"Action / Dexterity, Animals, Children's Game","Klaus Miltenberger, Udo Peise",1
4340,160436,Lost Legacy: Binbo Tantei to Inbo no Shiro,2,8,10,10,10,2014,7.40868,91,10,"Bluffing, Card Game, Deduction","Hisashi Hayashi, Seiji Kanai, Hayato Kisaragi",1.375
4393,25537,Tr_tofant,2,4,10,10,10,2005,6.91653,118,5,"Action / Dexterity, Animals, Children's Game",Roberto Fraga,1
4396,9149,Zitternix,2,4,10,3,10,2000,6.12777,320,6,"Action / Dexterity, Children's Game",Heinz Meister,1.0286
4423,27938,Tortuga,2,2,10,3,10,2007,6.23736,265,8,"Abstract Strategy, Animals",Vincent Everaert,1.7727
4501,172866,Dragon Punch,2,2,10,10,10,2014,6.39286,203,12,"Fighting, Video Game Theme",Koen Hendrix,1.4286
4556,103814,Streams,1,99,10,10,10,2011,6.37764,191,8,"Math, Number, Party Game, Puzzle",Yoshihisa Itsubaki,1.2
4598,3706,Batik,2,2,10,10,10,1997,5.95475,478,6,"Abstract Strategy, Action / Dexterity",Kris Burm,1.1224
4680,148767,Brandon the Brave,1,4,10,10,10,2013,6.50404,161,5,Children's Game,Johannes Zirm,1.0909
4681,13875,Quoridor Kid,2,4,10,10,10,2004,6.32005,207,6,"Abstract Strategy, Children's Game, Maze",Mirko Marchesi,1.4444
4755,155322,Hearts of AttrAction,2,5,10,10,10,2014,6.49492,153,14,Action / Dexterity,Jeff Glickman,1
4772,114991,The Metagame,2,33,10,10,10,2011,6.95916,172,17,"Card Game, Party Game","Colleen Macklin, John Sharp, Eric Zimmerman",1.75
4821,109801,Sticky Stickz,2,5,10,10,10,2011,6.37307,192,8,"Action / Dexterity, Children's Game, Party Game",Dave Choi,1
4823,30179,Inside,2,2,10,10,10,2007,6.46012,163,8,Abstract Strategy,Henrik Morast,1.9231
4917,7989,Spooks,3,6,10,10,10,2003,6.05819,342,12,"Card Game, Horror",Jason Wittman,1.5172
4170,171037,Doctor Panic,2,9,12,12,12,2016,6.46844,211,7,"Action / Dexterity, Electronic, Humor, Medical, Party Game, Real-time",Roberto Fraga,1
4110,203828,13 Minutes: The Cuban Missile Crisis,2,2,13,13,13,2017,7.13974,114,10,"Card Game, Political","Asger Harding Granerud, Daniel Skjold Pedersen",2
4438,68199,Catchup,2,2,13,13,13,2010,7.658,85,10,"Abstract Strategy, Print & Play",Nick Bentley,2.8
32,178900,Codenames,2,8,15,15,15,2015,7.89233,30757,14,"Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",Vlaada ChvÌÊtil,1.3679
287,166384,Spyfall,3,8,15,4,15,2014,7.19652,10656,12,"Bluffing, Deduction, Humor, Party Game, Spies/Secret Agents",Alexandr Ushan,1.2896
302,133473,Sushi Go!,2,5,15,15,15,2013,7.14628,18043,8,Card Game,Phil Walker-Harding,1.1671
321,131357,Coup,2,6,15,15,15,2012,7.12137,21155,9,"Bluffing, Card Game, Deduction, Party Game, Political",Rikki Tahta,1.4421
430,156336,Onirim (second edition),1,2,15,15,15,2014,7.35337,3137,14,"Card Game, Exploration, Fantasy",Shadi Torbey,1.6311
438,143741,BANG! The Dice Game,3,8,15,15,15,2013,7.02824,10796,8,"American West, Bluffing, Deduction, Dice, Fighting, Party Game","Michael Palm, Lukas Zach",1.2975
503,89409,BattleCON: War of Indines,2,4,15,15,15,2010,7.85676,1266,9,"Card Game, Fighting, Print & Play","D. Brad Talton, Jr.",2.6923
538,72287,Mr. Jack Pocket,2,2,15,15,15,2010,7.00654,5209,14,"Bluffing, Deduction, Murder/Mystery, Post-Napoleonic","Bruno Cathala, Ludovic Maublanc",1.8051
612,164265,Witness,4,4,15,15,15,2014,7.40804,1552,13,"Comic Book / Strip, Deduction, Memory, Murder/Mystery",Dominique Bodin,1.5319
619,130176,Tales & Games: The Hare & the Tortoise,2,5,15,15,15,2011,7.20416,2161,7,"Animals, Card Game, Novel-based, Racing",Gun-Hee Kim,1.4608
638,131260,Qwixx,2,5,15,15,15,2012,6.91408,4443,8,Dice,Steffen Benndorf,1.1434
650,17329,Animal Upon Animal,2,4,15,15,15,2005,6.889,4568,4,"Action / Dexterity, Animals, Children's Game",Klaus Miltenberger,1.0435
672,158600,Hanamikoji,2,2,15,15,15,2013,7.62562,1084,10,"Card Game, Medieval",Kota Nakayama,1.64
694,16395,Blokus Duo,2,2,15,4,15,2005,6.87036,4182,5,"Abstract Strategy, Territory Building",Bernard Tavitian,1.7048
714,134352,Two Rooms and a Boom,6,30,15,15,15,2013,7.07472,2305,8,"Bluffing, Deduction, Negotiation, Party Game, Spies/Secret Agents","Alan Gerding, Sean McCoy",1.4095
772,63268,Spot it!,2,8,15,15,15,2009,6.74349,6117,7,"Card Game, Children's Game, Educational, Party Game, Real-time, Sports","Denis Blanchot, Guillaume Gille-Naves, Igor Polouchine",1.0368
788,41916,The Magic Labyrinth,2,4,15,15,15,2009,6.90334,2897,6,"Children's Game, Fantasy, Maze, Memory",Dirk Baumann,1.2739
794,85256,Timeline: Inventions,2,8,15,15,15,2010,6.74468,5182,8,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.1199
808,148943,Coup: Rebellion G54,3,6,15,15,15,2014,7.21037,1472,14,"Bluffing, Card Game, Deduction, Negotiation, Political",Rikki Tahta,1.963
857,71836,Onirim,1,2,15,4,15,2010,6.74417,4003,8,"Card Game, Exploration, Fantasy, Maze",Shadi Torbey,1.6517
894,131325,Timeline: Diversity,2,8,15,15,15,2012,6.85561,2439,8,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.0833
900,149155,Dead Man's Draw,2,4,15,15,15,2015,6.87025,2482,13,"Card Game, Pirates",none,1.3509
928,624,Quoridor,2,4,15,15,15,1997,6.69275,4332,8,"Abstract Strategy, Maze",Mirko Marchesi,1.9235
965,99975,Timeline: Discoveries,2,8,15,15,15,2011,6.80169,2338,8,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.2527
1073,144826,Zombie 15',2,4,15,15,15,2014,6.99129,1373,14,"Fighting, Real-time, Zombies","Guillaume L_mery, Nicolas Schlewitz",2.25
1157,54137,Battle Sheep,2,4,15,15,15,2010,6.74742,1892,7,"Abstract Strategy, Animals",Francesco Rotta,1.5357
1180,137330,Cube Quest,2,2,15,15,15,2013,6.88396,1322,8,"Action / Dexterity, Dice, Fighting","Oliver Sibthorpe, Gary Sibthorpe",1.1132
1245,143404,Castellion,1,2,15,15,15,2015,7.10764,895,10,none,Shadi Torbey,2
1260,337,Circus Flohcati,2,5,15,15,15,1998,6.6394,1969,6,Card Game,Reiner Knizia,1.2338
1332,183006,Qwinto,2,6,15,8,15,2015,7.15936,744,8,"Dice, Number","Bernhard Lach, Uwe Rapp",1.4412
1360,181345,Dr. Eureka,1,4,15,15,15,2015,6.8242,1123,8,"Action / Dexterity, Children's Game, Puzzle, Real-time",Roberto Fraga,1.15
1381,209778,Magic Maze,1,8,15,15,15,2017,7.38548,609,8,"Exploration, Fantasy, Humor, Maze, Real-time",Kasper Lapp,1.7778
1447,27225,Bananagrams,1,8,15,15,15,2006,6.35064,5331,7,"Real-time, Word Game","Rena Nathanson, Abe Nathanson",1.3726
1552,206051,Insider,4,8,15,15,15,2016,7.23054,574,9,"Bluffing, Deduction, Party Game","Akihiro Itoh, Kwaji, Daichi Okano, Kito Shinma",1.1667
1634,112373,BraveRats,2,2,15,15,15,2011,6.51898,1466,8,"Card Game, Fantasy",Seiji Kanai,1.1481
1643,149809,Escape: Zombie City,2,4,15,15,15,2014,7.0182,701,10,"Real-time, Zombies",Kristian Amundsen Ìüstby,1.7241
1689,117942,Zooloretto: The Dice Game,2,4,15,15,15,2012,6.48636,1403,7,"Animals, Dice",Michael Schacht,1.2544
1703,40398,Monopoly Deal Card Game,2,5,15,15,15,2008,6.25684,5576,8,"Card Game, Economic",(Uncredited),1.3326
1712,94389,Urbion,1,2,15,4,15,2012,6.88087,726,13,"Card Game, Fantasy",Shadi Torbey,1.875
1735,148290,Longhorn,2,2,15,4,15,2013,6.6262,989,8,"Abstract Strategy, American West, Animals",Bruno Cathala,1.7727
1798,172931,Outfoxed,2,4,15,4,15,2014,7.26287,447,5,"Children's Game, Deduction, Dice",none,1.1765
1809,138788,Dungeon Roll,1,4,15,4,15,2013,6.18083,5770,8,"Dice, Fantasy, Fighting",Chris Darden,1.3388
1812,53168,Triumvirate,2,2,15,15,15,2009,6.773,703,12,"Ancient, Bluffing, Card Game, Deduction",Travis Worthington,1.9344
1853,123570,Strike,2,5,15,15,15,2012,6.69529,782,8,"Action / Dexterity, Dice",Dieter NÌªå_le,1.0851
1887,205045,Avenue,1,10,15,15,15,2016,7.06299,482,8,"Farming, Transportation","Eilif Svensson, Kristian Amundsen Ìüstby",1.6923
1936,152237,Pairs,2,8,15,4,15,2014,6.39747,1334,0,Card Game,"James Ernest, Heinrich Glumpler, Paul Peterson",1.1548
1958,29773,Cheeky Monkey,2,6,15,15,15,2007,6.60033,818,7,"Animals, Children's Game",Reiner Knizia,1.1585
1960,12346,Spooky Stairs,2,4,15,15,15,2003,6.4746,1099,4,"Children's Game, Fantasy, Memory",Michelle Schanen,1.1081
1965,13293,Vs. System,2,2,15,15,15,2004,6.75342,723,10,"Card Game, Collectible Components, Comic Book / Strip","Edward Fear, Mike Hummel, Matt Hyra, Daniel Mandel, Patrick Sullivan (II)",2.6056
1983,173341,Loopin' Chewie,2,3,15,15,15,2015,6.46877,1014,4,"Action / Dexterity, Aviation / Flight, Children's Game, Electronic, Movies / TV / Radio theme, Real-time, Space Exploration",(Uncredited),1
1985,191004,My First Stone Age,2,4,15,15,15,2016,6.84224,581,5,"Children's Game, Memory, Prehistoric",Marco Teubner,1.2222
2031,128664,Timeline,2,8,15,15,15,2012,6.48503,953,8,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.2
2043,152757,Doodle Quest,1,4,15,4,15,2014,6.87103,510,6,"Action / Dexterity, Children's Game","Laurent Escoffier, David Franck",1.0952
2058,2290,Ghosts!,2,2,15,4,15,1980,6.37689,1177,6,"Bluffing, Children's Game, Horror",Alex Randolph,1.3167
2072,142325,Kobayakawa,3,6,15,8,15,2013,6.38522,1116,9,"Card Game, Deduction, Number",Jun Sasaki,1.2206
2087,41003,Keltis: Der Weg der Steine Mitbringspiel,2,4,15,15,15,2009,6.4501,914,7,"Ancient, Exploration",Reiner Knizia,1.2842
2143,130899,12 Days,3,5,15,15,15,2011,6.53339,776,8,Card Game,"James Ernest, Mike Selinker",1.234
2184,143075,Luchador! Mexican Wrestling Dice,2,6,15,15,15,2013,6.55356,782,8,"Action / Dexterity, Dice, Sports",Mark Rivera,1.2319
2186,392,Brawl,2,7,15,15,15,1999,6.4068,1066,10,"Card Game, Fighting, Real-time",James Ernest,1.3761
2216,161546,Timeline: American History,2,8,15,15,15,2014,6.7474,544,8,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.1786
2241,3464,Melee,2,2,15,15,15,1977,6.86301,482,10,"Adventure, Fantasy, Fighting, Wargame",Steve Jackson (I),2.26
2272,47046,Gambit 7,3,21,15,15,15,2008,6.71716,510,7,"Bluffing, Party Game, Trivia",Dominic Crapuchettes,1.0606
2279,180198,Rolling America,1,99,15,15,15,2015,6.56691,622,8,"Dice, Number, Puzzle",Hisashi Hayashi,1.7059
2302,176361,One Night Revolution,3,10,15,15,15,2015,6.30987,1085,14,"Bluffing, Card Game, Deduction, Negotiation, Party Game, Science Fiction, Spies/Secret Agents",Ted Alspach,1.8857
2309,403,Elk Fest,2,2,15,15,15,1999,6.17433,1619,8,"Action / Dexterity, Animals, Racing",Hermann Huber,1.0511
2342,23890,Der schwarze Pirat,2,4,15,15,15,2006,6.63405,558,5,"Action / Dexterity, Children's Game, Nautical, Pirates",Guido Hoffmann,1.12
2345,62853,JAB: Realtime Boxing,2,2,15,15,15,2011,6.34124,942,10,"Card Game, Fighting, Real-time, Sports",Gavan Brown,1.7759
2363,6263,King's Breakfast,3,5,15,15,15,2003,6.18353,1424,7,Card Game,"Alan R. Moon, Aaron Weissblum",1.1724
2394,20782,Siam,2,2,15,15,15,2005,6.95957,368,8,"Abstract Strategy, Animals",Didier Dhorbait,2.3125
2397,146130,Coin Age,2,2,15,15,15,2013,6.18214,1527,0,"Abstract Strategy, Print & Play",Adam P. McIver,1.3193
2398,174476,10' to Kill,2,4,15,15,15,2015,6.52955,650,12,"Animals, Bluffing, Deduction, Murder/Mystery",Benoit Bannier,1.6286
2444,41052,Tokyo Train,4,8,15,15,15,2009,6.5113,616,8,"Action / Dexterity, Party Game, Puzzle, Real-time",Walter Obert,1.0851
2537,56933,Pinguin-Party,2,6,15,15,15,2008,6.34278,770,6,"Animals, Card Game, Children's Game",Reiner Knizia,1.1571
2555,159868,Sellswords,2,2,15,4,15,2014,6.72945,422,10,Mythology,Cliff Kamarga,1.95
2560,6714,Go Away Monster!,2,4,15,15,15,1997,6.52352,563,3,"Children's Game, Puzzle","Monty Stambler, Ann Stambler",1
2635,8946,Coda,2,4,15,15,15,2002,6.10057,1453,8,Deduction,"Hiroaki Suzuki, Eiji Wakasugi",1.4912
2636,56796,Let's Catch the Lion!,2,2,15,15,15,2008,6.6743,416,4,"Abstract Strategy, Animals, Children's Game",Madoka Kitao,1.7586
2656,172971,Crossing,3,6,15,15,15,2013,6.59308,468,6,"Bluffing, Party Game",Yoshiteru Shinohara,1.1053
2661,123885,Pick-a-Dog,1,5,15,15,15,2012,6.21654,890,8,"Action / Dexterity, Animals, Card Game, Children's Game, Party Game, Puzzle, Real-time",Torsten Landsvogt,1.0741
2698,150298,One Zero One,2,2,15,15,15,2013,6.79919,350,8,"Abstract Strategy, Card Game",David Harding (II),1.8333
2742,173092,Tr_xx,1,4,15,15,15,2015,6.67836,365,8,none,"Steffen Benndorf, Reinhard Staupe",1.1852
2877,192547,Go Cuckoo!,2,5,15,15,15,2016,7.00504,256,4,"Action / Dexterity, Children's Game, Party Game","Josep M. Allu_, VÌ¥ktor Bautista i Roca",1
2886,169341,Birds of a Feather,1,7,15,15,15,2015,6.86237,304,9,"Animals, Card Game, Educational",Teale Fristoe,1.2727
2898,192240,Control,2,4,15,15,15,2016,7.09479,288,10,"Card Game, Science Fiction",Mattox Shuler,1.6
2966,191982,Knit Wit,2,8,15,15,15,2016,6.35636,536,8,Word Game,Matt Leacock,1.8182
3015,161943,Chos?n,2,4,15,15,15,2014,6.80335,284,14,Card Game,Gun-Hee Kim,2.1429
3035,145014,Cardline: Globetrotter,2,7,15,15,15,2013,6.46385,408,8,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.4211
