ranking,game_id,name,min_players,max_players,avg_timeplay,min_timeplay,max_timeplay,year,avg_rating,num_votes,age,category,designer,weight
95,146886,La Granja,1,4,120,120,120,2014,7.80337,4902,12,"Economic, Farming","Michael Keller (II), Andreas ""ode."" Odendahl",3.5789
112,140620,Lewis & Clark,1,5,120,120,120,2013,7.5902,8809,14,"American West, Racing",C_drick Chaboussit,3.3093
127,127060,Bora Bora,2,4,120,120,120,2013,7.60836,6586,12,Dice,Stefan Feld,3.7429
137,182874,Grand Austria Hotel,2,4,120,120,120,2015,7.76754,3980,12,Economic,"Virginio Gigli, Simone Luciani",3.2297
141,155873,Power Grid Deluxe: Europe/North America,2,6,120,60,120,2014,8.14398,2101,12,"Economic, Industry / Manufacturing",Friedemann Friese,3.2079
154,15985,Blood Bowl: Living Rulebook,2,2,120,120,120,2004,7.87439,3022,12,"Collectible Components, Expansion for Base-game, Fantasy, Fighting, Miniatures, Sports",Jervis Johnson,3.1548
158,59959,Letters from Whitechapel,2,6,120,120,120,2011,7.48684,9100,13,"Bluffing, Deduction, Murder/Mystery, Post-Napoleonic","Gabriele Mari, Gianluca Santopietro",2.6942
161,193037,Dead of Winter: The Long Night,2,5,120,120,120,2016,8.10918,2332,14,"Bluffing, Deduction, Horror, Mature / Adult, Science Fiction, Zombies","Jonathan Gilmour, Isaac Vega",3.4651
164,124708,Mice and Mystics,1,4,120,120,120,2012,7.47195,11009,7,"Adventure, Dice, Exploration, Fantasy, Fighting, Miniatures",Jerry Hawthorne,2.6292
172,63628,The Manhattan Project,2,5,120,120,120,2012,7.49206,6823,13,"Aviation / Flight, Economic, Fighting, Industry / Manufacturing, Negotiation, World War II",Brandon Tibbetts,2.9681
175,185343,Anachrony,1,4,120,120,120,2017,8.32029,1725,15,"Economic, Science Fiction","Richard Amann, Viktor Peter, DÌÊvid Turczi",3.7937
182,144344,Rococo,2,5,120,120,120,2013,7.58077,4601,12,"Age of Reason, Economic","Matthias Cramer, Louis Malz, Stefan Malz",3.1126
195,109276,Kanban: Automotive Revolution,2,4,120,30,120,2014,7.78686,2844,12,"Economic, Industry / Manufacturing",Vital Lacerda,4.2937
209,39683,At the Gates of Loyang,1,4,120,30,120,2009,7.38834,7225,10,"Economic, Farming",Uwe Rosenberg,3.1459
215,83330,Mansions of Madness,2,5,120,120,120,2011,7.39256,10679,13,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",Corey Konieczka,3.2388
219,128996,1775: Rebellion,2,4,120,120,120,2013,7.82451,2407,10,"Age of Reason, American Indian Wars, American Revolutionary War, Educational, Wargame","Beau Beckett, Jeph Stahl",2.2974
230,139976,Cthulhu Wars,3,4,120,120,120,2015,8.03196,2149,14,"Fantasy, Fighting, Horror, Miniatures",Sandy Petersen,3.1265
232,154809,Nippon,2,4,120,120,120,2015,7.82854,2233,12,"Economic, Industry / Manufacturing","Nuno Bizarro Sentieiro, Paulo Soledade",3.7459
237,13,Catan,3,4,120,120,120,1995,7.26105,68505,10,Negotiation,Klaus Teuber,2.3588
246,169255,A Game of Thrones: The Card Game (Second Edition),2,4,120,30,120,2015,7.90418,2303,14,"Card Game, Collectible Components, Fantasy, Fighting, Medieval, Negotiation, Novel-based","Nate French, Eric M. Lang",3.4405
256,146791,Shadows of Brimstone: City of the Ancients,1,4,120,120,120,2014,8.0417,2126,12,"Adventure, American West, Exploration, Fighting, Horror, Miniatures",Jason C. Hill,3.3655
270,34119,Tales of the Arabian Nights,1,6,120,120,120,2009,7.28423,8757,12,"Adventure, Arabian, Book, Exploration, Fantasy","Anthony J. Gallela, Eric Goldberg, Kevin Maroney, Zev Shlasinger",2.1722
275,39351,Automobile,3,5,120,120,120,2009,7.37225,4742,12,"Economic, Industry / Manufacturing",Martin Wallace,3.5175
283,119506,Freedom: The Underground Railroad,1,4,120,120,120,2012,7.63808,2523,13,"American Civil War, Economic, Educational, Political, Puzzle",Brian Mayer,2.9172
288,140603,Francis Drake,3,5,120,120,120,2013,7.51208,3217,14,"Bluffing, Exploration, Nautical, Pirates, Renaissance",Peter Hawes,2.9204
296,18,RoboRally,2,8,120,120,120,1994,7.15182,19467,12,"Miniatures, Racing, Science Fiction",Richard Garfield,2.434
303,192457,Cry Havoc,2,4,120,120,120,2016,7.6252,2737,10,"Fighting, Miniatures, Science Fiction, Wargame","Grant Rodiek, Micha? Oracz, Micha? Walczak",3.2381
